num,x,y,targetX,targetY,errorX,errorY,tot_error,PID_x,PID_y
155,0.4,-0.2,0,0,-0.4,0.2,0.447213595499958,1.247058899435991,-0.8036074141097097
156,0.2,-0.3,0,0,-0.2,0.3,0.36055512754639896,1.1176973890073643,-0.8761255897875848
157,0.0,-0.5,0,0,0.0,0.5,0.5,1.0506620852291189,-1.348949003285209
158,-0.3,-0.7,0,0,0.3,0.7,0.7615773105863908,0.40025633203763666,-1.539830972911391
159,-0.5,-0.9,0,0,0.5,0.9,1.0295630140987,0.9278538133262816,-1.4384485517383392
160,-0.7,-1.1,0,0,0.7,1.1,1.3038404810405297,0.6198015173973033,-1.7542703894077354
161,-0.9,-1.1,0,0,0.9,1.1,1.4212670403551897,0.5493401206731771,-0.9790829124450682
162,-1.3,-1.2,0,0,1.3,1.2,1.7691806012954132,-0.5156479793997861,-1.449410154079701
163,-1.4,-1.1,0,0,1.4,1.1,1.7804493814764855,0.5913905392840686,-0.625963377828914
164,-1.8,-0.9,0,0,1.8,0.9,2.012461179749811,-0.8651954205415052,-0.13121426461232666
165,-1.9,-0.6,0,0,1.9,0.6,1.9924858845171274,0.3036700427592732,0.2647685687360378
166,-2.3,-0.4,0,0,2.3,0.4,2.33452350598575,-0.9063812839671115,-0.05377354194302608
167,-2.5,-0.3,0,0,2.5,0.3,2.5179356624028344,-0.5538125508177939,-0.2599630278175738
168,-2.8,-0.2,0,0,2.8,0.2,2.80713376952364,-1.1263907265430022,-0.22557517314734243
169,-3.1,-0.1,0,0,3.1,0.1,3.1016124838541645,-1.3107419298670264,-0.1873400738708983
170,-3.5,-0.2,0,0,3.5,0.2,3.5057096285916205,-2.0435343752689406,-1.0195251104431162
171,-3.9,-0.1,0,0,3.9,0.1,3.9012818406262317,-1.9916430386548933,-0.26140071865306014
172,-4.3,-0.2,0,0,4.3,0.2,4.304648650006176,-2.6256050294911453,-1.024140686191012
173,-4.7,-0.2,0,0,4.7,0.2,4.70425339453563,-2.912239050485271,-0.6308912103176113
174,-4.9,-0.1,0,0,4.9,0.1,4.901020301937139,-2.303574560993971,-0.1970385714202813
175,-5.0,0.0,0,0,5.0,0.0,5.0,-2.0726390224687194,-0.1430045853861217
176,-5.1,0.2,0,0,5.1,-0.2,5.103920062069938,-2.2282785024962055,0.35827391368572803
177,-5.1,0.5,0,0,5.1,-0.5,5.124451190127583,-1.939219093799591,0.8943612265830811
178,-4.8,0.7,0,0,4.8,-0.7,4.850773134253961,-0.9652432387188561,0.483914548217225
179,-4.7,0.8,0,0,4.7,-0.8,4.767598976424087,-1.5526738764315684,0.3179687884777967
180,-4.6,0.8,0,0,4.6,-0.8,4.6690470119715,-1.5939687115161596,-0.060028363704681065
181,-4.5,0.7,0,0,4.5,-0.7,4.55411901469428,-1.6346026296571972,-0.4872468032880557
182,-4.3,0.6,0,0,4.3,-0.6,4.341658669218481,-1.2529150796027309,-0.5147334191753794
183,-4.2,0.5,0,0,4.2,-0.5,4.2296571965113205,-1.7426738603119398,-0.49373879241900304
184,-4.2,0.3,0,0,4.2,-0.3,4.21070065428546,-2.1442465314865116,-1.0595402503406983
185,-4.1,0.0,0,0,4.1,0.0,4.1,-1.7930914377336924,-1.5731004269226643
186,-4.2,-0.3,0,0,4.2,0.3,4.21070065428546,-2.702139007122776,-1.7584150973303867
187,-4.2,-0.5,0,0,4.2,0.5,4.2296571965113205,-2.3934280085563664,-1.4772795201388553
188,-4.1,-0.7,0,0,4.1,0.7,4.159326868617084,-2.0286378583411415,-1.5991258710423977
189,-4.1,-0.8,0,0,4.1,0.8,4.177319714841085,-2.5053166410923002,-1.2634752044279385
190,-3.9,-1.0,0,0,3.9,1.0,4.026164427839479,-1.8673383267902908,-1.6356752463794173
191,-3.8,-1.0,0,0,3.8,1.0,3.9293765408777,-2.127022013899326,-1.0235964725017546
192,-3.5,-1.0,0,0,3.5,1.0,3.640054944640259,-1.310931588053493,-1.0441620109081264
193,-3.3,-0.9,0,0,3.3,0.9,3.420526275297414,-1.6053316738443026,-0.6115322471775837
194,-3.0,-1.0,0,0,3.0,1.0,3.1622776601683795,-1.149446612559331,-1.4687170517568546
195,-4.3,-1.6,0,0,4.3,1.6,4.588027898781784,-7.235205697898284,-3.3452296120406184
196,-6.4,-2.4,0,0,6.4,2.4,6.835202996254026,-12.173912073538299,-4.8908285952922235
197,-8.5,-3.3,0,0,8.5,3.3,9.118113840043893,-13.891790127033394,-5.9962625510668754
198,-10.6,-4.1,0,0,10.6,4.1,11.365298060323802,-15.10440541823268,-6.060622590559095
199,-12.6,-4.7,0,0,12.6,4.7,13.44804818551748,-15.768776276094796,-5.605836362595287
200,-13.3,-5.1,0,0,13.3,5.1,14.244297104455523,-11.319128113218406,-5.101232193883402
201,-13.5,-5.4,0,0,13.5,5.4,14.539944979263161,-9.86536075097267,-5.063044861882101
202,-12.8,-5.3,0,0,12.8,5.3,13.8538803228554,-6.817455340193238,-3.627558116136066
203,-11.4,-5.1,0,0,11.4,5.1,12.48879497789919,-2.9323354576589304,-3.139824293014004
204,-9.2,-4.5,0,0,9.2,4.5,10.241581909060727,0.6545572246365925,-1.4757024200490094
205,-6.3,-3.9,0,0,6.3,3.9,7.409453421137082,5.732003367623026,-1.0172471249678336
206,-3.7,-3.0,0,0,3.7,3.0,4.763402145525822,4.732585320316901,0.2680271916308601
207,-1.0,-2.1,0,0,1.0,2.1,2.3259406699226015,7.052698263771223,0.882168706220682
208,1.8,-0.9,0,0,-1.8,0.9,2.012461179749811,6.475976048101778,1.6104821372499631
209,4.2,0.1,0,0,-4.2,-0.1,4.201190307520001,8.903804590757462,2.4878425473801675
210,6.7,1.1,0,0,-6.7,-1.1,6.789698078707183,10.203979810981568,2.813559379255222
211,8.6,2.2,0,0,-8.6,-2.2,8.87693640846886,9.18953793647075,3.898157272614947
212,10.2,3.1,0,0,-10.2,-3.1,10.660675400742674,8.785877848864024,3.4939128530325894
213,11.1,3.8,0,0,-11.1,-3.8,11.73243367763057,6.8831272012029885,3.223434765831668
214,11.3,4.2,0,0,-11.3,-4.2,12.055289295574786,4.420084856445833,2.115212638964734
215,11.2,4.5,0,0,-11.2,-4.5,12.070211265756702,3.5532381887336215,2.2308025212586804
216,10.3,4.4,0,0,-10.3,-4.4,11.200446419674531,0.20307389807054133,0.710351908365168
217,9.2,4.2,0,0,-9.2,-4.2,10.113357503816426,-0.9374318835571103,0.3070989383380591
218,7.7,3.7,0,0,-7.7,-3.7,8.542833253669418,-3.1450429039232857,-1.050355756052101
